,,,,, شاخص‌های همکاری ,,,,, شاخص‌های رقابت,,,,,,,,,
,نام برند,حوزه کلیدی فعالیت,توضیح,توضیح نقش ها,مشتری سرویس های یکدیگر,مکمل بودن در زنجیره ارزش,هم‌راستایی اهداف استراتژیک,دسترسی به منابع یا داده‌های مشترک,تجربه همکاری موفق قبلی,هم‌پوشانی بازار هدف,شباهت در خدمات اصلی,تهدید جایگزینی,سرمایه گذاری بر روی پروژه رقیب,خطر ورود به رقابت بالقوه,میانگین همکاری,میانگین رقابت,نقش اولیه,نقش ثانویه,مشاوره پیشنهادی
,,,,,,,,,,,,,,,,,,,
دیجی کالا,دیجی‌کالا,مارکت‌پلیس,پلتفرم اصلی فروش اینترنتی کالاهای متنوع,,5,8,5,3,2,7,8,6,7,7,4.6,7,🔴 رقیب خالص,تهدید بازار / سرمایه‌گذار در رقبا / محرک توسعه داخلی / خطر ورود به بازار,گرفتن سهم بازار
,دیجی‌استایل,مد,فروشگاه اینترنتی پوشاک، کیف و کفش، لوازم آرایشی,,3,8,2,2,1,7,2,6,7,6,3.2,5.6,⚪ بی‌تأثیر / غیرمرتبط,سرمایه گذار بالقوه,توسعه بازار
,پیندو,آگهی,پلتفرم آگهی آنلاین برای ارتباط مستقیم فروشنده و خریدار,,3,8,2,2,1,5,2,6,4,5,3.2,4.4,⚪ بی‌تأثیر / غیرمرتبط,,توسعه بازار
,کمدا,پوشاک,اپلیکیشن خرید و فروش پوشاک دست‌دوم و شخصی‌سازی‌شده,سرمایه گذاری در حوزه Reverse logistics,4,8,2,2,1,5,2,6,4,5,3.4,4.4,⚪ بی‌تأثیر / غیرمرتبط,,توسعه بازار
,دیجی‌اکسپرس,لجستیک,لجستیک و ارسال سفارش‌ها,,4,9,7,6,2,9,9,10,10,10,5.6,9.6,🔴 رقیب خالص,تهدید بازار / سرمایه‌گذار در رقبا / محرک توسعه داخلی / خطر ورود به بازار,سرمایه گذاری مشترک
,میاره,لجستیک,حمل‌ونقل و باربری,,3,4,7,8,2,8,7,7,7,9,4.8,7.6,🔴 رقیب خالص,تهدید بازار / سرمایه‌گذار در رقبا / محرک توسعه داخلی / خطر ورود به بازار,جذب سرمایه
,دیجی‌کالا جت,تحویل فوری سوپرمارکتی,سرویس سفارش و تحویل فوری کالاهای مصرفی و سوپرمارکتی,,2,7,5,8,1,6,7,7,7,8,4.6,7,🔴 رقیب خالص,سرمایه‌گذار در رقبا / محرک توسعه داخلی / خطر ورود به بازار,توسعه محصول
,آپ‌تایم,لجستیک,پلتفرم مدیریت ناوگان مبتنی بر داده برای بهینه‌سازی مسیرها,,9,9,9,6,2,7,7,7,8,8,7,7.4,🔶 شریک-رقیب,مشتری در بخشی از خدمات / سرمایه گذاری مشترک / شریک آزمایشی / تهدید سهم بازار / توانایی جایگزین کردن,
,گنجه,لجستیک,خدمات لجستیک مبتنی بر فناوری برای مدیریت موجودی و انبار,,7,10,8,8,2,7,7,7,9,7,7,7.4,🔶 شریک-رقیب,مشتری در بخشی از خدمات / مکمل زنجیره در بخشی از فرآیند / سرمایه گذاری مشترک / شریک آزمایشی / تهدید سهم بازار / توانایی جایگزین کردن,
,دیجی‌پی,فینتک,پلتفرم جامع فین‌تک برای پرداخت، اقساط، مدیریت مالی و بیمه,,5,7,4,2,1,4,2,2,5,4,3.8,3.4,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,دیجی نکست,شتاب‌دهی,بازوی نوآوری و پرورش تیم‌های استارتاپی داخل و خارج اکوسیستم,,7,3,8,5,1,4,4,7,7,7,4.8,5.8,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / فرصت های توسعه بازار / همراستایی ضعیف بالقوه در آینده,
,اسمارتک,مارکتینگ,بازاریابی دیجیتال و اتوماسیون ارتباط با مشتری,,2,3,2,2,1,2,1,2,3,3,2,2.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,دیجی‌فای,فروشگاه‌ساز,ساخت فروشگاه اینترنتی برای کسب‌وکارها,اتصال وبسایت های ساخته شده با دیجی فای به API سرویس های هلدینگ,7,10,7,8,3,8,2,7,5,5,7,5.4,🟢 شریک خالص,مشتری فعلی یا بالقوه / سرمایه‌گذار بالقوه / شریک زیرساختی / مکمل زنجیره ارزش / محرک تقاضا,
,دیجی‌کلاود,زیرساخت ابری,ارائه خدمات Cloud و DevOps برای تیم‌های تکنولوژی و استارتاپ‌ها,,1,6,3,1,1,7,1,2,4,3,2.4,3.4,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,فیدیبو,کتاب,پلتفرم قانونی خرید، دانلود و گوش‌دادن کتاب‌های دیجیتال,,5,5,3,2,1,5,1,7,4,1,3.2,3.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,کانتنت فکتوری,محتوا,مرکز تولید تصویر، ویدیو و متن برای معرفی کالاها,,1,3,2,2,1,6,1,1,2,1,1.8,2.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,دیجی‌کالا مگ,رسانه,رسانه فناوری و سبک زندگی,,1,3,2,2,1,5,1,1,2,1,1.8,2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,مگنت,راهنمای خرید,پلتفرم بررسی تخصصی، رتبه‌بندی و انتخاب محصولات,,3,3,2,2,1,3,1,1,2,1,2.2,1.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,دیجی‌کالا بیزینس,تامین سازمانی,B2B پلتفرم خرید کالا برای شرکت‌ها، سازمان‌ها و مغازه‌ها,,7,7,4,2,1,7,3,7,3,3,4.2,4.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,دیجی‌کالا مهر,نیکوکاری و مسئولیت اجتماعی,پلتفرم خیریه برای تأمین و ارسال کالا به مؤسسات,,1,1,1,1,1,1,1,1,1,1,1,1,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,بومی و محلی,توانمندسازی,پروژه حمایت از مشاغل خانگی، محلی و زنان روستایی,,8,7,7,5,3,8,3,7,6,7,6,6.2,⚪ بی‌تأثیر / غیرمرتبط,سرمایه گذار بالقوه / همراستایی ضعیف بالقوه در آینده,
,سلر آکادمی,آموزش,آموزش و توانمندسازی فروشندگان مارکت‌پلیس دیجی‌کالا,,6,4,4,7,5,8,1,7,4,1,5.2,4.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / زیرساخت جایگزین در زمان بحران,
اسنپ,اسنپ باکس,لجستیک,ارسال و حمل کالا,,8,7,6,7,7,8,6,6,8,7,7,7,🔶 شریک-رقیب,مشتری در بخشی از خدمات / مکمل زنجیره در بخشی از فرآیند / شریک آزمایشی / تهدید سهم بازار,
,اسنپ پی,فینتک ,خرید اعتباری، خرید اقساطی، خرید بیمه آنلاین، پرداخت مستقیم ,,5,7,4,2,1,4,2,2,5,4,3.8,3.4,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,اسنپ,تاکسی اینترنتی ,حمل‌و‌نقل شهری,,3,2,2,2,1,4,3,3,5,4,2,3.8,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,اسنپ truck,لجستیک,خدمات حمل بار درون شهری/برون شهری,,8,6,4,5,2,7,4,5,6,6,5,5.6,⚪ بی‌تأثیر / غیرمرتبط,فرصت های توسعه بازار,
,اسنپ دکتر,بیمارستان آنلاین,مشاوره آنلاین پزشکی و روانشناسی، سفارش آنلاین دارو، خرید محصولات پزشکی، ارایشی و بهداشتی، ویزیت پزشک در منزل و انجام ازمایش خون در منزل ,,5,4,3,4,1,6,4,5,5,6,3.4,5.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,اسنپ مارکت,خرید آنلاین از سوپر مارکت,سوپر مارکت اینترنتی با همکاری دو شرکت اسنپ و هایپرمارکت,,2,7,5,8,1,6,7,7,7,8,4.6,7,🔴 رقیب خالص,سرمایه‌گذار در رقبا / محرک توسعه داخلی / خطر ورود به بازار,
,اسنپ شاپ,مارکت پلیس,خرید آنلاین محصولات مختلف ,,10,8,4,7,9,8,5,5,6,5,7.6,5.8,🟢 شریک خالص,مشتری فعلی یا بالقوه / شریک زیرساختی / مکمل زنجیره ارزش / محرک تقاضا,
,اسنپ فود,سرویس غذا , خریــد و پیش‌ســفارش از رســتوران‌ها، کافه‌هــا، نانوایی‌هــا، میوه‌فروشــی‌ها، شیرینی‌فروشــی‌ها، آجیل‌فروشــی‌ها، فروشــگاه‌های مــواد پروتئینــی و لبنیــات، امــکان سـفارش آنلایـن گل و گیـاه، محصـولات آرایشـی و بهداشـتی,,2,4,2,3,1,4,4,2,7,7,2.4,4.8,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / فرصت های توسعه بازار,
