,,,,,,,"تصمیم‌سازان و تنظیم‌گران 
(Decision & Control Forces)",,,"بازیگران زنجیره ارزش 
(Value Chain Actors)",,,"جهت‌دهندگان بازار 
(Market Drivers)",,"توانمندسازان اکوسیستم 
(Ecosystem Enablers)",
,نام برند,حوزه کلیدی فعالیت,توضیح,نقش اصلی قابل تصور,نقش ثانویه قابل تصور,,تصمیم‌ساز کلیدی,ناظر حقوقی / رگولاتور ,تأثیرگذار پنهان ,شریک کلیدی,مشتری نهایی,کاربر میانی / واسطه,روندساز/شکل‌دهنده بازار,رقیب مستقیم یا غیرمستقیم (مخالف),سرمایه‌گذار / اسپانسر,ترویج‌گر / مبلغ
,,,,,,توضیخ نقش ها,Decision Maker,Regulator,Hidden Influencer / Shadow Power,Strategic Partner / Co-Creator,End User / Beneficiary,Intermediary,Market Shaper,Opponent,Sponsor / Investor,Advocate / Promoter
دیجی کالا,دیجی‌کالا,مارکت‌پلیس,پلتفرم اصلی فروش اینترنتی کالاهای متنوع,شریک راهبردی,رقیب,,10,5,5,10,10,7,10,10,10,10
,دیجی‌استایل,مد,فروشگاه اینترنتی پوشاک، کیف و کفش، لوازم آرایشی,مشتری,شریک راهبردی,,5,1,5,6,8,10,6,3,3,5
,پیندو,آگهی,پلتفرم آگهی آنلاین برای ارتباط مستقیم فروشنده و خریدار,شریک راهبردی,خنثی,,3,1,6,7,8,8,8,3,3,3
,کمدا,پوشاک,اپلیکیشن خرید و فروش پوشاک دست‌دوم و شخصی‌سازی‌شده,مشتری,خنثی,سرمایه گذاری در حوزه Reverse logistics,3,1,6,7,8,8,8,3,3,3
,دیجی‌اکسپرس,لجستیک,لجستیک و ارسال سفارش‌ها,رقیب,شریک راهبردی,,7,3,7,8,8,3,7,10,5,3
,میاره,لجستیک,حمل‌ونقل و باربری,رقیب,شریک راهبردی,,7,3,7,8,8,3,7,10,5,3
,دیجی‌کالا جت,تحویل فوری سوپرمارکتی,سرویس سفارش و تحویل فوری کالاهای مصرفی و سوپرمارکتی,مشتری,شریک راهبردی,,5,1,10,6,7,4,7,8,4,1
,آپ‌تایم,لجستیک,پلتفرم مدیریت ناوگان مبتنی بر داده برای بهینه‌سازی مسیرها,شریک راهبردی,خنثی,,6,1,8,10,5,8,3,7,2,1
,گنجه,لجستیک,خدمات لجستیک مبتنی بر فناوری برای مدیریت موجودی و انبار,رقیب,شریک راهبردی,,5,3,7,10,5,8,7,7,5,3
,دیجی‌پی,فینتک,پلتفرم جامع فین‌تک برای پرداخت، اقساط، مدیریت مالی و بیمه,شریک راهبردی,خنثی,,5,3,5,7,10,8,10,1,5,3
,دیجی نکست,شتاب‌دهی,بازوی نوآوری و پرورش تیم‌های استارتاپی داخل و خارج اکوسیستم,شریک راهبردی,سرمایه گذار,,7,3,5,10,7,4,7,7,10,1
,اسمارتک,مارکتینگ,بازاریابی دیجیتال و اتوماسیون ارتباط با مشتری,خنثی,خنثی,,3,1,3,3,3,7,5,4,3,10
